,,,,,,,,,,,,Concentrations,,,,,,,,,,,,,,Flow and Method,,,,,Load,,,,,,,,,,,,,,,,
7/26/2022,2022,4,1,ST,OUT,ST1-FF-04-GB,TRUE,FALSE,FALSE,NA,FALSE,U,0.23,NA,U,6.4,U,NA,NA,NA,NA,0.0064,NA,NA,330,NA,GB,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
7/27/2022,2022,4,2,CT,OUT,CT2-FF-04-GB,TRUE,FALSE,FALSE,NA,FALSE,U,0.4,NA,U,6.4,U,NA,NA,NA,NA,0.009,NA,NA,2960,NA,GB,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
7/27/2022,2022,4,2,MT,OUT,MT2-FF-04-GB,TRUE,FALSE,FALSE,NA,FALSE,U,0.22,NA,U,6.4,U,NA,NA,NA,NA,0.0067,NA,NA,633.333,NA,GB,Etape,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
7/27/2022,2022,4,2,ST,OUT,ST2-FF-04-GB,TRUE,FALSE,FALSE,NA,FALSE,U,0.24,NA,U,6.5,U,NA,NA,NA,NA,0.0064,NA,NA,273.333,NA,GB,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
7/26/2022,2022,4,1,CT,OUT,CT1-04-LC,FALSE,TRUE,FALSE,NA,FALSE,U,0.12,NA,U,5.1,U,NA,NA,NA,NA,0.0056,NA,NA,90,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
7/26/2022,2022,4,1,CT,OUT,CT1-04-LC-D,FALSE,TRUE,TRUE,NA,FALSE,U,0.1,NA,U,6.3,U,NA,NA,NA,NA,0.0059,NA,NA,76.667,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
7/26/2022,2022,4,1,MT,OUT,MT1-04-LC,FALSE,TRUE,FALSE,NA,FALSE,U,0.15,NA,U,5.5,U,NA,NA,NA,NA,0.0052,NA,NA,86.667,NA,LC,Etape,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
7/26/2022,2022,4,1,MT,OUT,MT1-04-LC-D,FALSE,TRUE,TRUE,NA,FALSE,U,0.14,NA,U,5.9,U,NA,NA,NA,NA,0.0061,NA,NA,73.333,NA,LC,Etape,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
7/26/2022,2022,4,1,ST,OUT,ST1-04-LC,FALSE,TRUE,FALSE,NA,FALSE,U,0.09,NA,U,5.7,U,NA,NA,NA,NA,0.0058,NA,NA,73.333,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
7/26/2022,2022,4,1,ST,OUT,ST1-04-LC-D,FALSE,TRUE,TRUE,NA,FALSE,U,0.092,NA,U,6.3,U,NA,NA,NA,NA,0.006,NA,NA,60,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
7/27/2022,2022,4,2,CT,OUT,NA,NA,NA,FALSE,NA,NA,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,0,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ","In the field book, on 7/27/22, it was noted that ""CT2 never made it so we did not get sample"" "
7/27/2022,2022,4,2,CT,OUT,NA,NA,NA,FALSE,NA,NA,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,0,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ","In the field book, on 7/27/22, it was noted that ""CT2 never made it so we did not get sample"" "
7/27/2022,2022,4,2,MT,OUT,MT2-04-LC,FALSE,TRUE,FALSE,NA,FALSE,U,0.15,NA,U,7.9,U,NA,NA,NA,NA,0.0059,NA,NA,96.667,NA,LC,Etape,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
7/27/2022,2022,4,2,MT,OUT,MT2-04-LC-D,FALSE,TRUE,TRUE,NA,FALSE,U,0.14,NA,U,6.4,U,NA,NA,NA,NA,0.0059,NA,NA,96.667,NA,LC,Etape,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
7/27/2022,2022,4,2,ST,OUT,ST2-04-LC,FALSE,TRUE,FALSE,NA,FALSE,U,0.072,NA,U,6.3,1.6,NA,NA,NA,NA,0.0061,NA,NA,66.667,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
7/27/2022,2022,4,2,ST,OUT,ST2-04-LC-D,FALSE,TRUE,TRUE,NA,FALSE,U,0.074,NA,U,6.3,1.7,NA,NA,NA,NA,0.0063,NA,NA,56.667,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/10/2022,2022,5,1,CT,INF,KB-05-IN1,FALSE,FALSE,FALSE,NA,FALSE,0.11,U,NA,U,7.7,U,NA,NA,NA,NA,0.0057,NA,NA,53.333,106443.9,GB,7.0 L Bucket,Siphon,NA,11708.829,#VALUE!,#VALUE!,#VALUE!,819618.03,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,606.73,#VALUE!,#VALUE!,5677008,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/10/2022,2022,5,1,CT,INF,KB-05-IN1-D,FALSE,FALSE,TRUE,NA,FALSE,0.088,U,NA,U,7.7,U,NA,NA,NA,NA,0.0061,NA,NA,13.333,106443.9,GB,7.0 L Bucket,Siphon,NA,9367.063,#VALUE!,#VALUE!,#VALUE!,819618.03,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,649.308,#VALUE!,#VALUE!,1419252,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/10/2022,2022,5,1,MT,INF,KB-05-IN1,FALSE,FALSE,FALSE,NA,FALSE,0.11,U,NA,U,7.7,U,NA,NA,NA,NA,0.0057,NA,NA,53.333,94483.9,GB,7.0 L Bucket,Siphon,NA,10393.229,#VALUE!,#VALUE!,#VALUE!,727526.03,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,538.558,#VALUE!,#VALUE!,5039141.333,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/10/2022,2022,5,1,MT,INF,KB-05-IN1-D,FALSE,FALSE,TRUE,NA,FALSE,0.088,U,NA,U,7.7,U,NA,NA,NA,NA,0.0061,NA,NA,13.333,94483.9,GB,7.0 L Bucket,Siphon,NA,8314.583,#VALUE!,#VALUE!,#VALUE!,727526.03,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,576.352,#VALUE!,#VALUE!,1259785.333,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/10/2022,2022,5,1,ST,INF,KB-05-IN1,FALSE,FALSE,FALSE,NA,FALSE,0.11,U,NA,U,7.7,U,NA,NA,NA,NA,0.0057,NA,NA,53.333,111769.32,GB,7.0 L Bucket,Siphon,NA,12294.625,#VALUE!,#VALUE!,#VALUE!,860623.764,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,637.085,#VALUE!,#VALUE!,5961030.4,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/10/2022,2022,5,1,ST,INF,KB-05-IN1-D,FALSE,FALSE,TRUE,NA,FALSE,0.088,U,NA,U,7.7,U,NA,NA,NA,NA,0.0061,NA,NA,13.333,111769.32,GB,7.0 L Bucket,Siphon,NA,9835.7,#VALUE!,#VALUE!,#VALUE!,860623.764,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,681.793,#VALUE!,#VALUE!,1490257.6,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/11/2022,2022,5,2,CT,INF,KB-05-IN2,FALSE,FALSE,FALSE,NA,FALSE,0.13,U,NA,U,7.6,U,NA,NA,NA,NA,0.0057,NA,NA,40,108657.6,GB,7.0 L Bucket,Siphon,NA,14125.488,#VALUE!,#VALUE!,#VALUE!,825797.76,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,619.348,#VALUE!,#VALUE!,4346304,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/11/2022,2022,5,2,CT,INF,KB-05-IN2-D,FALSE,FALSE,TRUE,NA,FALSE,0.12,U,NA,U,7.6,U,NA,NA,NA,NA,0.0058,NA,NA,40,108657.6,GB,7.0 L Bucket,Siphon,NA,13038.912,#VALUE!,#VALUE!,#VALUE!,825797.76,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,630.214,#VALUE!,#VALUE!,4346304,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/11/2022,2022,5,2,MT,INF,KB-05-IN2,FALSE,FALSE,FALSE,NA,FALSE,0.13,U,NA,U,7.6,U,NA,NA,NA,NA,0.0057,NA,NA,40,106952.13,GB,7.0 L Bucket,Siphon,NA,13903.777,#VALUE!,#VALUE!,#VALUE!,812836.188,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,609.627,#VALUE!,#VALUE!,4278085.2,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/11/2022,2022,5,2,MT,INF,KB-05-IN2-D,FALSE,FALSE,TRUE,NA,FALSE,0.12,U,NA,U,7.6,U,NA,NA,NA,NA,0.0058,NA,NA,40,106952.13,GB,7.0 L Bucket,Siphon,NA,12834.256,#VALUE!,#VALUE!,#VALUE!,812836.188,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,620.322,#VALUE!,#VALUE!,4278085.2,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/11/2022,2022,5,2,ST,INF,KB-05-IN2,FALSE,FALSE,FALSE,NA,FALSE,0.13,U,NA,U,7.6,U,NA,NA,NA,NA,0.0057,NA,NA,40,109310.22,GB,7.0 L Bucket,Siphon,NA,14210.329,#VALUE!,#VALUE!,#VALUE!,830757.672,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,623.068,#VALUE!,#VALUE!,4372408.8,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/11/2022,2022,5,2,ST,INF,KB-05-IN2-D,FALSE,FALSE,TRUE,NA,FALSE,0.12,U,NA,U,7.6,U,NA,NA,NA,NA,0.0058,NA,NA,40,109310.22,GB,7.0 L Bucket,Siphon,NA,13117.226,#VALUE!,#VALUE!,#VALUE!,830757.672,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,633.999,#VALUE!,#VALUE!,4372408.8,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/10/2022,2022,5,1,CT,OUT,NA,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"From the recorded notes and conversations with Manny and AJ, we have determined that there was likely not enough water for sample analysis during this irrigation event. "
8/10/2022,2022,5,1,MT,OUT,NA,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,Etape,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"From the recorded notes and conversations with Manny and AJ, we have determined that there was likely not enough water for sample analysis during this irrigation event. "
8/10/2022,2022,5,1,ST,OUT,NA,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"From the recorded notes and conversations with Manny and AJ, we have determined that there was likely not enough water for sample analysis during this irrigation event. "
8/11/2022,2022,5,2,CT,OUT,NA,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"From the recorded notes and conversations with Manny and AJ, we have determined that there was likely not enough water for sample analysis during this irrigation event. "
8/11/2022,2022,5,2,MT,OUT,NA,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,Etape,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"From the recorded notes and conversations with Manny and AJ, we have determined that there was likely not enough water for sample analysis during this irrigation event. "
8/11/2022,2022,5,2,ST,OUT,NA,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"From the recorded notes and conversations with Manny and AJ, we have determined that there was likely not enough water for sample analysis during this irrigation event. "
8/10/2022,2022,5,1,CT,OUT,CT1-05-LC,FALSE,TRUE,FALSE,NA,FALSE,0.16,0.16,NA,U,7.3,U,NA,NA,NA,NA,0.0056,NA,NA,86.667,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/10/2022,2022,5,1,CT,OUT,CT1-05-LC-D,FALSE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"Sample was crossed out on the ALS lab report, From the recorded notes and conversations with Manny and AJ, we have determined that there was likely not enough water for sample analysis during this irrigation event. "
8/10/2022,2022,5,1,MT,OUT,MT1-05-LC,FALSE,TRUE,FALSE,NA,FALSE,0.17,0.11,NA,U,7.5,U,NA,NA,NA,NA,0.0062,NA,NA,66.667,NA,LC,Etape,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/10/2022,2022,5,1,MT,OUT,MT1-05-LC-D,FALSE,TRUE,TRUE,NA,FALSE,0.16,0.13,NA,U,7.6,U,NA,NA,NA,NA,0.0062,NA,NA,70,NA,LC,Etape,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/10/2022,2022,5,1,ST,OUT,ST1-05-LC,FALSE,TRUE,FALSE,NA,FALSE,0.15,0.12,NA,U,7.5,U,NA,NA,NA,NA,0.0062,NA,NA,76.667,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/10/2022,2022,5,1,ST,OUT,ST1-05-LC-D,FALSE,TRUE,TRUE,NA,FALSE,0.14,0.1,NA,U,7.4,U,NA,NA,NA,NA,0.0065,NA,NA,60,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/11/2022,2022,5,2,CT,OUT,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"From the recorded notes and conversations with Manny and AJ, we have determined that there was likely not enough water for sample analysis during this irrigation event. "
8/11/2022,2022,5,2,CT,OUT,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"From the recorded notes and conversations with Manny and AJ, we have determined that there was likely not enough water for sample analysis during this irrigation event. "
8/11/2022,2022,5,2,MT,OUT,MT2-05-LC,FALSE,TRUE,FALSE,NA,FALSE,0.24,0.28,NA,U,7.6,U,NA,NA,NA,NA,0.0062,NA,NA,96.667,NA,LC,Etape,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/11/2022,2022,5,2,MT,OUT,MT2-05-LC-D,FALSE,TRUE,TRUE,NA,FALSE,0.2,0.25,NA,U,7.6,U,NA,NA,NA,NA,0.0061,NA,NA,80,NA,LC,Etape,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/11/2022,2022,5,2,ST,OUT,ST2-05-LC,FALSE,TRUE,FALSE,NA,FALSE,0.18,0.11,NA,U,7.6,U,NA,NA,NA,NA,0.0054,NA,NA,56.667,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/11/2022,2022,5,2,ST,OUT,ST2-05-LC-D,FALSE,TRUE,TRUE,NA,FALSE,0.16,0.065,NA,U,7.5,U,NA,NA,NA,NA,0.0059,NA,NA,16.667,NA,LC,Etape,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","ALS Fort Collins, CO; TKN subcontracted to ALS Holland, MI ",
8/18/2022,2022,6,1,CT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,7.0 L Bucket,Siphon,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"Occurred but was scrapped due to a hail event caused blockages in the rows, we believed it was not a representative sample - ""It has been decided to not take Rep 2 samples and dump Rep 1 samples because of how poorly this one seems to be going"""
8/18/2022,2022,6,1,MT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,7.0 L Bucket,Siphon,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"Occurred but was scrapped due to a hail event caused blockages in the rows, we believed it was not a representative sample - ""It has been decided to not take Rep 2 samples and dump Rep 1 samples because of how poorly this one seems to be going"""
8/18/2022,2022,6,1,ST,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,7.0 L Bucket,Siphon,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"Occurred but was scrapped due to a hail event caused blockages in the rows, we believed it was not a representative sample - ""It has been decided to not take Rep 2 samples and dump Rep 1 samples because of how poorly this one seems to be going"""
